disrict,client_id,client_catg,region,creation_date,target
69,train_Client_100083,11,107,26/10/1982,1.0
60,train_Client_100084,11,101,06/12/2011,0.0
63,train_Client_100085,11,312,04/02/2016,0.0
60,train_Client_100086,11,101,30/06/1994,0.0
69,train_Client_100087,11,107,06/03/2008,0.0
62,train_Client_100088,11,304,28/10/1996,0.0
62,train_Client_100089,11,307,10/09/2012,0.0
60,train_Client_10009,11,101,28/12/2016,0.0
62,train_Client_100090,11,303,14/10/2002,0.0
60,train_Client_100091,11,101,22/02/2011,1.0
62,train_Client_100092,11,302,26/06/1984,0.0
63,train_Client_100093,11,306,29/12/1991,0.0
63,train_Client_100094,11,311,12/11/2012,0.0
63,train_Client_100095,11,372,13/09/1988,0.0
62,train_Client_100096,11,301,07/09/2011,0.0
69,train_Client_100097,11,107,02/12/2014,0.0
63,train_Client_100098,11,313,10/08/2011,0.0
60,train_Client_100099,11,101,28/04/2010,0.0
62,train_Client_1001,11,309,06/11/2009,0.0
63,train_Client_10010,11,311,31/12/2003,0.0
63,train_Client_100100,11,306,24/12/2007,0.0
60,train_Client_100101,11,101,11/10/2005,0.0
69,train_Client_100102,11,103,14/02/2007,0.0
62,train_Client_100103,11,301,30/08/2013,0.0
60,train_Client_100104,11,101,15/07/2009,0.0
62,train_Client_100105,11,310,16/12/1986,0.0
69,train_Client_100106,11,104,27/01/2009,0.0
62,train_Client_100107,11,305,22/04/1992,0.0
62,train_Client_100108,11,307,22/08/2003,0.0
63,train_Client_100109,11,312,27/12/1990,1.0
60,train_Client_10011,11,101,19/03/1987,0.0
62,train_Client_100110,11,301,05/04/2002,0.0
69,train_Client_100111,11,104,09/03/2011,0.0
60,train_Client_100112,11,101,14/11/2006,0.0
62,train_Client_100113,12,301,12/10/2001,0.0
69,train_Client_100114,11,104,07/06/2012,0.0
63,train_Client_100115,11,101,27/12/1990,0.0
62,train_Client_100116,11,310,27/08/2010,0.0
69,train_Client_100117,11,105,17/11/2012,0.0
69,train_Client_100118,51,104,16/12/2014,0.0
60,train_Client_100119,11,101,08/07/1998,0.0
63,train_Client_10012,11,101,24/02/2003,0.0
63,train_Client_100120,11,311,19/11/2018,0.0
60,train_Client_100121,11,101,10/12/1993,0.0
62,train_Client_100122,11,302,23/08/2011,0.0
69,train_Client_100123,11,107,17/01/2008,0.0
62,train_Client_100124,11,309,30/03/2015,0.0
60,train_Client_100125,11,101,14/06/1977,0.0
62,train_Client_100126,11,301,05/11/2014,0.0
60,train_Client_100127,11,101,14/09/2006,0.0
62,train_Client_100128,11,304,20/09/1990,0.0
60,train_Client_100129,11,101,07/04/1981,0.0
62,train_Client_10013,11,309,24/05/1983,0.0
62,train_Client_100130,11,307,20/05/2011,0.0
62,train_Client_100131,11,303,24/05/1999,0.0
69,train_Client_100132,11,106,31/12/1990,1.0
69,train_Client_100133,12,104,05/12/2007,0.0
69,train_Client_100134,11,103,12/09/2012,0.0
60,train_Client_100135,11,101,23/07/2012,0.0
69,train_Client_100136,11,103,18/02/2009,0.0
63,train_Client_100137,11,313,04/02/2013,0.0
69,train_Client_100138,11,103,20/02/2007,0.0
63,train_Client_100139,11,311,21/08/1989,0.0
60,train_Client_10014,11,101,19/05/1980,0.0
63,train_Client_100140,11,306,09/09/2017,0.0
63,train_Client_100141,11,306,26/11/2013,0.0
69,train_Client_100142,11,107,15/05/2013,0.0
62,train_Client_100143,11,309,24/09/2008,0.0
69,train_Client_100144,11,104,28/02/2001,0.0
62,train_Client_100145,11,304,23/03/1999,0.0
60,train_Client_100146,11,101,14/08/2010,0.0
69,train_Client_100147,11,104,05/01/2008,0.0
69,train_Client_100148,11,104,28/08/2010,0.0
62,train_Client_100149,11,310,09/02/2008,0.0
60,train_Client_10015,11,101,04/06/2007,0.0
69,train_Client_100150,11,107,11/03/2014,0.0
69,train_Client_100151,11,107,29/09/1993,0.0
60,train_Client_100152,11,101,05/09/2006,0.0
60,train_Client_100153,11,101,27/02/1989,0.0
60,train_Client_100154,11,101,12/03/2015,0.0
62,train_Client_100155,11,305,14/12/1998,0.0
60,train_Client_100156,12,101,03/12/1986,0.0
60,train_Client_100157,11,101,11/07/2011,0.0
60,train_Client_100158,11,101,12/07/2010,0.0
62,train_Client_100159,11,305,24/05/1999,0.0
69,train_Client_10016,11,107,05/09/2011,0.0
60,train_Client_100160,11,101,23/03/2000,0.0
63,train_Client_100161,11,311,08/03/2014,0.0
62,train_Client_100162,11,301,22/03/1989,0.0
60,train_Client_100163,11,101,26/03/2009,0.0
63,train_Client_100164,11,313,04/01/2007,0.0
69,train_Client_100165,11,107,27/12/1985,0.0
60,train_Client_100166,11,101,13/10/1980,0.0
69,train_Client_100167,11,104,10/07/1995,0.0
62,train_Client_100168,11,305,01/06/2018,0.0
62,train_Client_100169,11,302,28/12/1986,0.0
60,train_Client_10017,11,101,23/01/2002,0.0
69,train_Client_100170,11,103,19/10/2010,0.0
63,train_Client_100171,11,372,22/01/1980,0.0
63,train_Client_100172,11,312,19/01/2018,0.0
62,train_Client_100173,11,307,29/11/2018,0.0
62,train_Client_100174,11,301,21/04/1981,0.0
62,train_Client_100175,11,304,23/10/1996,0.0
62,train_Client_100176,11,301,30/07/2004,0.0
63,train_Client_100177,11,306,22/12/1998,1.0
62,train_Client_100178,11,301,25/02/1983,0.0
69,train_Client_100179,11,104,01/09/2016,0.0
69,train_Client_10018,11,104,28/11/2015,0.0
62,train_Client_100180,11,301,16/01/2018,0.0
62,train_Client_100181,11,303,10/04/1998,0.0
62,train_Client_100182,11,305,31/12/1990,0.0
69,train_Client_100183,11,105,25/03/2016,0.0
62,train_Client_100184,11,303,23/03/2000,0.0
69,train_Client_100185,11,107,09/10/2010,0.0
63,train_Client_100186,11,308,06/07/2007,0.0
60,train_Client_100187,11,101,31/12/1994,0.0
63,train_Client_100188,11,306,06/09/1988,0.0
69,train_Client_100189,11,104,10/07/2008,0.0
60,train_Client_10019,11,101,20/04/1984,0.0
69,train_Client_100190,11,105,22/02/2001,0.0
69,train_Client_100191,11,103,06/08/2009,0.0
60,train_Client_100192,11,101,21/03/1984,0.0
63,train_Client_100193,11,311,08/11/2018,0.0
62,train_Client_100194,11,303,18/11/1981,0.0
69,train_Client_100195,11,104,25/12/2009,0.0
69,train_Client_100196,11,107,11/06/1997,0.0
69,train_Client_100197,11,107,07/05/1993,0.0
62,train_Client_100198,11,307,18/06/2016,0.0
60,train_Client_100199,11,101,23/01/1989,0.0
69,train_Client_1002,11,104,10/03/2013,0.0
69,train_Client_10020,11,107,12/09/2008,0.0
69,train_Client_100200,11,104,27/11/2010,0.0
69,train_Client_100201,11,107,11/08/1986,0.0
60,train_Client_100202,11,101,13/12/1994,0.0
62,train_Client_100203,11,303,08/08/1981,0.0
62,train_Client_100204,11,371,25/04/2017,0.0
63,train_Client_100205,51,306,02/06/2010,0.0
60,train_Client_100206,11,101,30/11/2015,0.0
63,train_Client_100207,11,306,11/05/2017,0.0
62,train_Client_100208,11,310,28/06/2007,0.0
63,train_Client_100209,11,312,10/05/2005,0.0
69,train_Client_10021,11,104,26/02/2007,0.0
60,train_Client_100210,11,101,04/03/1982,0.0
62,train_Client_100211,11,303,13/10/1998,0.0
69,train_Client_100212,11,104,07/10/2016,0.0
63,train_Client_100213,11,306,13/10/1989,0.0
60,train_Client_100214,12,101,17/05/2005,0.0
63,train_Client_100215,11,101,01/12/1993,0.0
63,train_Client_100216,11,311,24/11/1992,1.0
63,train_Client_100217,11,311,21/08/1989,0.0
62,train_Client_100218,11,305,29/10/2018,0.0
63,train_Client_100219,11,312,01/02/2011,0.0
69,train_Client_10022,11,107,30/11/1998,1.0
62,train_Client_100220,11,303,18/11/1981,0.0
62,train_Client_100221,11,301,16/10/1997,0.0
63,train_Client_100222,11,308,25/01/2000,0.0
69,train_Client_100223,11,107,03/12/2014,0.0
60,train_Client_100224,11,101,28/09/1995,0.0
60,train_Client_100225,11,101,23/11/2015,0.0
69,train_Client_100226,11,103,09/05/2000,0.0
62,train_Client_100227,11,309,12/11/1979,0.0
62,train_Client_100228,11,305,29/10/2012,0.0
63,train_Client_100229,11,311,12/06/2010,0.0
69,train_Client_10023,11,103,10/06/2003,0.0
69,train_Client_100230,11,104,26/08/1996,0.0
63,train_Client_100231,11,311,24/10/2016,0.0
60,train_Client_100232,11,101,28/04/2003,0.0
69,train_Client_100233,11,107,04/06/2004,0.0
60,train_Client_100234,11,101,03/10/2013,0.0
62,train_Client_100235,11,302,17/05/2011,1.0
62,train_Client_100236,51,301,28/03/2012,1.0
69,train_Client_100237,11,104,11/10/2004,0.0
63,train_Client_100238,11,306,12/12/2012,0.0
69,train_Client_100239,11,104,29/09/1989,0.0
69,train_Client_10024,11,104,03/07/2008,0.0
62,train_Client_100240,11,303,09/12/1994,0.0
63,train_Client_100241,11,311,28/02/2006,0.0
69,train_Client_100242,11,107,14/07/1981,0.0
63,train_Client_100243,11,311,10/02/1993,0.0
69,train_Client_100244,12,103,25/06/1991,0.0
69,train_Client_100245,11,103,20/11/2017,0.0
62,train_Client_100246,11,302,13/10/1980,0.0
69,train_Client_100247,11,103,18/11/2002,0.0
63,train_Client_100248,11,311,27/09/2010,0.0
63,train_Client_100249,11,311,28/02/2013,0.0
63,train_Client_10025,11,372,31/08/2015,0.0
62,train_Client_100250,11,304,18/01/1993,0.0
63,train_Client_100251,11,101,20/08/1999,0.0
63,train_Client_100252,11,311,24/06/2003,1.0
69,train_Client_100253,11,107,17/09/2011,0.0
63,train_Client_100254,11,306,16/05/2002,0.0
69,train_Client_100255,11,107,08/12/2011,0.0
63,train_Client_100256,11,311,11/01/2017,0.0
60,train_Client_100257,11,101,01/10/2007,0.0
69,train_Client_100258,11,104,16/11/2011,0.0
62,train_Client_100259,11,301,29/10/1998,0.0
60,train_Client_10026,11,101,30/12/1984,0.0
62,train_Client_100260,11,303,14/02/2013,0.0
62,train_Client_100261,11,310,28/12/1986,0.0
60,train_Client_100262,11,101,04/09/1987,0.0
63,train_Client_100263,11,372,25/04/2009,0.0
62,train_Client_100264,11,302,21/11/1990,0.0
62,train_Client_100265,11,303,30/08/2017,0.0
69,train_Client_100266,11,107,27/05/1993,0.0
69,train_Client_100267,11,103,11/07/1996,0.0
62,train_Client_100268,11,301,30/05/2014,0.0
63,train_Client_100269,11,306,20/10/2009,0.0
63,train_Client_10027,11,306,19/11/2007,0.0
62,train_Client_100270,11,310,28/12/1995,1.0
62,train_Client_100271,11,303,21/09/2001,0.0
60,train_Client_100272,11,101,23/12/1997,0.0
60,train_Client_100273,11,101,07/04/1981,0.0
69,train_Client_100274,11,104,30/09/2015,0.0
62,train_Client_100275,11,310,11/01/2018,0.0
63,train_Client_100276,11,313,25/05/1993,0.0
69,train_Client_100277,11,104,18/10/1995,1.0
62,train_Client_100278,11,303,03/04/2002,1.0
63,train_Client_100279,11,379,12/06/1991,0.0
62,train_Client_10028,11,301,08/03/2012,0.0
60,train_Client_100280,11,101,14/09/2007,0.0
62,train_Client_100281,11,303,17/09/2008,0.0
63,train_Client_100282,11,101,16/07/2002,0.0
69,train_Client_100283,11,104,11/12/2015,0.0
62,train_Client_100284,11,304,22/03/1979,0.0
60,train_Client_100285,11,101,19/12/2018,0.0
62,train_Client_100286,11,303,13/10/1980,0.0
62,train_Client_100287,11,302,01/06/2011,0.0
69,train_Client_100288,11,103,29/01/2014,0.0
62,train_Client_100289,11,310,17/08/1993,0.0
69,train_Client_10029,11,104,30/09/2013,0.0
62,train_Client_100290,11,301,08/10/2012,0.0
62,train_Client_100291,11,310,16/10/1997,0.0
69,train_Client_100292,11,104,13/03/2007,0.0
62,train_Client_100293,11,303,30/12/1998,0.0
62,train_Client_100294,11,301,05/11/2010,0.0
63,train_Client_100295,11,306,04/01/2013,0.0
63,train_Client_100296,11,306,04/09/2014,0.0
63,train_Client_100297,11,311,09/03/2016,0.0
63,train_Client_100298,11,311,20/01/1993,0.0
69,train_Client_100299,11,107,26/01/2017,0.0
63,train_Client_1003,11,101,22/12/2015,0.0
62,train_Client_10030,11,310,22/09/1998,1.0
62,train_Client_100300,11,305,17/05/1995,0.0
62,train_Client_100301,11,309,06/04/1982,0.0
69,train_Client_100302,11,107,10/12/1996,0.0
63,train_Client_100303,11,311,13/10/2010,0.0
69,train_Client_100304,11,103,03/05/2010,0.0
62,train_Client_100305,11,303,15/04/1988,0.0
63,train_Client_100306,11,306,30/11/2005,0.0
60,train_Client_100307,11,101,26/12/1981,0.0
60,train_Client_100308,11,101,24/09/2010,0.0
60,train_Client_100309,11,101,29/02/2000,0.0
62,train_Client_10031,11,304,24/04/2015,0.0
60,train_Client_100310,11,101,05/03/1977,0.0
63,train_Client_100311,11,101,09/01/2010,0.0
62,train_Client_100312,11,301,24/11/1992,0.0
62,train_Client_100313,11,305,16/05/1984,0.0
69,train_Client_100314,11,104,10/03/1989,0.0
63,train_Client_100315,11,306,20/08/2008,0.0
60,train_Client_100316,11,101,21/01/2010,0.0
63,train_Client_100317,11,306,08/02/1984,0.0
69,train_Client_100318,11,107,12/04/1989,0.0
63,train_Client_100319,11,311,08/02/2002,0.0
62,train_Client_10032,11,310,28/06/1988,0.0
62,train_Client_100320,11,303,16/04/1977,0.0
69,train_Client_100321,11,107,10/01/2008,0.0
69,train_Client_100322,11,104,20/08/1986,1.0
62,train_Client_100323,11,310,30/09/1998,1.0
63,train_Client_100324,11,312,31/01/2008,0.0
69,train_Client_100325,11,107,26/11/2012,0.0
62,train_Client_100326,11,303,09/10/1986,0.0
63,train_Client_100327,11,311,06/05/2013,0.0
62,train_Client_100328,11,310,11/05/2005,0.0
69,train_Client_100329,11,107,15/11/2011,0.0
63,train_Client_10033,11,306,07/01/2016,0.0
69,train_Client_100330,11,104,03/07/2014,0.0
62,train_Client_100331,11,301,20/05/1983,0.0
63,train_Client_100332,11,311,23/05/2002,0.0
62,train_Client_100333,11,302,23/03/1999,0.0
60,train_Client_100334,11,101,01/12/2004,0.0
60,train_Client_100335,11,101,24/02/2018,0.0
63,train_Client_100336,11,313,13/05/2014,0.0
62,train_Client_100337,11,310,20/08/2009,0.0
63,train_Client_100338,11,311,08/12/1993,0.0
62,train_Client_100339,11,301,17/04/1985,0.0
63,train_Client_10034,11,399,13/12/2007,0.0
63,train_Client_100340,11,372,08/10/2010,0.0
62,train_Client_100341,11,305,14/06/2010,0.0
63,train_Client_100342,11,311,11/06/2002,0.0
62,train_Client_100343,11,304,29/12/2018,0.0
62,train_Client_100344,11,302,04/08/2016,0.0
62,train_Client_100345,11,371,11/04/1984,0.0
69,train_Client_100346,11,107,06/06/2006,0.0
62,train_Client_100347,11,301,23/06/2009,0.0
69,train_Client_100348,11,107,13/09/2000,0.0
60,train_Client_100349,11,101,31/12/2011,0.0
69,train_Client_10035,11,104,28/12/2007,0.0
69,train_Client_100350,11,104,07/07/2008,0.0
63,train_Client_100351,11,372,21/12/1994,0.0
69,train_Client_100352,12,107,29/05/2012,0.0
69,train_Client_100353,11,107,22/04/2005,0.0
60,train_Client_100354,11,101,11/04/1978,0.0
62,train_Client_100355,11,301,08/04/1993,0.0
62,train_Client_100356,11,301,10/06/1983,0.0
60,train_Client_100357,11,101,19/02/2013,0.0
60,train_Client_100358,11,101,14/08/2010,0.0
60,train_Client_100359,11,101,12/05/2010,0.0
62,train_Client_10036,11,309,10/06/2005,0.0
60,train_Client_100360,11,101,01/02/2019,0.0
63,train_Client_100361,11,379,10/06/2017,0.0
62,train_Client_100362,11,371,26/12/1989,1.0
63,train_Client_100363,11,306,08/03/1999,0.0
60,train_Client_100364,11,101,02/11/2001,0.0
69,train_Client_100365,11,107,31/05/2004,0.0
62,train_Client_100366,11,301,31/03/2005,0.0
60,train_Client_100367,11,101,20/12/1991,0.0
60,train_Client_100368,11,101,23/12/1991,0.0
63,train_Client_100369,11,306,18/10/1983,0.0
62,train_Client_10037,11,301,15/10/1999,0.0
69,train_Client_100370,11,104,14/10/2002,0.0
63,train_Client_100371,11,306,16/06/2017,0.0
62,train_Client_100372,11,304,20/09/2005,0.0
69,train_Client_100373,11,107,02/07/1986,0.0
62,train_Client_100374,11,301,21/01/2019,0.0
63,train_Client_100375,11,306,10/12/2007,0.0
69,train_Client_100376,11,103,30/08/1995,1.0
60,train_Client_100377,11,101,16/12/1981,0.0
63,train_Client_100378,11,311,12/05/2014,0.0
63,train_Client_100379,11,313,11/09/2009,0.0
60,train_Client_10038,11,101,05/03/1977,0.0
63,train_Client_100380,11,311,25/10/2002,0.0
69,train_Client_100381,11,104,12/04/2005,0.0
60,train_Client_100382,11,101,20/09/1994,1.0
63,train_Client_100383,11,306,03/11/1993,0.0
60,train_Client_100384,11,101,24/01/1984,0.0
63,train_Client_100385,11,306,21/04/2014,0.0
69,train_Client_100386,11,103,09/06/2007,0.0
62,train_Client_100387,11,310,21/01/2008,0.0
69,train_Client_100388,11,103,31/12/1998,0.0
62,train_Client_100389,11,307,30/09/2014,0.0
62,train_Client_10039,11,305,15/07/1982,1.0
62,train_Client_100390,11,304,09/10/2000,0.0
69,train_Client_100391,11,107,06/05/2011,0.0
62,train_Client_100392,11,301,19/05/1993,0.0
69,train_Client_100393,11,104,28/10/1985,0.0
63,train_Client_100394,11,399,14/12/1988,0.0
60,train_Client_100395,11,101,11/10/1996,0.0
69,train_Client_100396,11,104,17/02/2017,0.0
63,train_Client_100397,11,306,10/12/2007,0.0
63,train_Client_100398,11,311,12/02/2016,0.0
69,train_Client_100399,11,107,13/12/1985,1.0
69,train_Client_1004,11,103,30/07/1979,0.0
63,train_Client_10040,11,311,10/11/2014,0.0
63,train_Client_100400,11,306,15/05/2003,0.0
62,train_Client_100401,11,310,30/04/2011,0.0
60,train_Client_100402,11,101,17/05/2008,0.0
63,train_Client_100403,11,312,26/10/2007,0.0
62,train_Client_100404,11,301,08/06/2015,0.0
62,train_Client_100405,11,303,23/05/2001,0.0
69,train_Client_100406,11,104,20/12/1994,0.0
69,train_Client_100407,11,107,12/09/2008,0.0
62,train_Client_100408,11,309,17/05/2000,0.0
69,train_Client_100409,11,105,19/04/1996,0.0
63,train_Client_10041,11,311,23/08/1995,0.0
62,train_Client_100410,11,303,22/06/2009,0.0
69,train_Client_100411,11,107,10/08/2014,0.0
69,train_Client_100412,11,104,22/12/1993,0.0
69,train_Client_100413,11,103,29/11/2011,1.0
60,train_Client_100414,11,101,14/10/1980,0.0
63,train_Client_100415,11,306,02/12/2010,0.0
60,train_Client_100416,11,101,19/04/2007,0.0
62,train_Client_100417,11,307,16/07/2015,0.0
60,train_Client_100418,11,101,23/08/1979,0.0
63,train_Client_100419,11,313,09/10/2015,0.0
60,train_Client_10042,11,101,07/03/2003,0.0
69,train_Client_100420,11,107,22/05/2018,0.0
60,train_Client_100421,11,101,30/12/1998,0.0
60,train_Client_100422,11,101,22/10/1977,0.0
63,train_Client_100423,11,313,30/03/2000,0.0
62,train_Client_100424,11,310,24/09/1999,0.0
63,train_Client_100425,11,313,21/04/2000,0.0
62,train_Client_100426,11,309,07/12/2012,0.0
62,train_Client_100427,11,301,02/04/2014,0.0
60,train_Client_100428,11,101,16/07/2009,0.0
69,train_Client_100429,11,107,13/03/2019,0.0
62,train_Client_10043,11,301,10/06/1983,0.0
69,train_Client_100430,11,105,15/05/2013,0.0
69,train_Client_100431,11,103,31/12/1999,1.0
62,train_Client_100432,11,310,27/08/2004,0.0
62,train_Client_100433,11,371,30/10/1998,0.0
69,train_Client_100434,11,104,24/05/2000,0.0
69,train_Client_100435,11,106,26/05/2003,1.0
62,train_Client_100436,11,304,23/11/2009,1.0
69,train_Client_100437,11,105,10/04/1995,0.0
69,train_Client_100438,11,107,22/07/2017,0.0
69,train_Client_100439,11,103,15/02/2008,1.0
69,train_Client_10044,11,107,14/04/2018,0.0
69,train_Client_100440,11,104,06/10/2004,0.0
63,train_Client_100441,11,306,28/04/1987,0.0
69,train_Client_100442,11,107,13/03/1992,0.0
69,train_Client_100443,11,105,27/06/1997,0.0
60,train_Client_100444,11,101,30/08/1989,0.0
62,train_Client_100445,11,301,25/06/2018,0.0
60,train_Client_100446,11,101,20/08/1984,0.0
69,train_Client_100447,11,104,02/07/2015,0.0
60,train_Client_100448,51,101,29/05/2015,0.0
63,train_Client_100449,11,311,23/11/2013,0.0
63,train_Client_10045,11,311,19/10/2015,0.0
62,train_Client_100450,11,303,28/06/2007,0.0
62,train_Client_100451,11,309,10/12/1985,0.0
69,train_Client_100452,11,103,24/09/2017,0.0
69,train_Client_100453,11,104,30/05/2002,1.0
63,train_Client_100454,11,311,30/05/2009,0.0
60,train_Client_100455,11,101,13/04/2011,0.0
69,train_Client_100456,11,105,21/05/2003,1.0
69,train_Client_100457,11,104,02/08/2013,0.0
69,train_Client_100458,11,106,18/02/2010,0.0
69,train_Client_100459,11,107,10/02/2004,0.0
63,train_Client_10046,11,312,30/09/2003,0.0
62,train_Client_100460,11,303,17/12/2013,0.0
69,train_Client_100461,11,107,08/07/1997,0.0
60,train_Client_100462,11,101,29/12/1977,0.0
60,train_Client_100463,11,101,03/06/2010,0.0
69,train_Client_100464,11,104,16/12/1991,0.0
63,train_Client_100465,11,306,30/03/2007,0.0
60,train_Client_100466,11,101,03/04/2002,0.0
63,train_Client_100467,11,101,12/04/2016,0.0
60,train_Client_100468,11,101,29/12/2010,0.0
60,train_Client_100469,11,101,17/09/2007,0.0
62,train_Client_10047,11,302,23/07/2010,0.0
69,train_Client_100470,11,104,12/05/1998,0.0
60,train_Client_100471,11,101,31/12/1995,0.0
69,train_Client_100472,11,107,20/05/2005,0.0
63,train_Client_100473,11,311,12/12/1995,0.0
60,train_Client_100474,11,101,10/11/1981,0.0
63,train_Client_100475,11,312,18/01/2017,0.0
63,train_Client_100476,11,311,17/10/2017,0.0
62,train_Client_100477,11,307,01/01/1998,0.0
60,train_Client_100478,11,101,29/10/2001,0.0
63,train_Client_100479,11,311,13/10/2010,0.0
69,train_Client_10048,11,103,29/10/2018,0.0
62,train_Client_100480,11,301,15/12/2000,0.0
63,train_Client_100481,11,311,12/05/1992,1.0
60,train_Client_100482,11,101,08/05/1984,0.0
62,train_Client_100483,11,310,29/07/1997,0.0
60,train_Client_100484,11,101,22/12/2008,0.0
63,train_Client_100485,11,306,31/12/2004,0.0
69,train_Client_100486,11,104,21/09/1990,0.0
69,train_Client_100487,51,104,06/10/2004,1.0
60,train_Client_100488,11,101,30/01/2007,0.0
62,train_Client_100489,11,303,29/05/2013,0.0
62,train_Client_10049,11,371,30/12/2006,0.0
62,train_Client_100490,11,303,08/03/2012,0.0
63,train_Client_100491,11,306,28/09/2007,0.0
60,train_Client_100492,11,101,21/05/1999,0.0
63,train_Client_100493,11,313,28/12/2005,0.0
60,train_Client_100494,11,101,12/09/2017,0.0
60,train_Client_100495,11,101,11/06/2010,0.0
63,train_Client_100496,11,311,14/10/1994,0.0
62,train_Client_100497,11,301,25/04/2014,0.0
62,train_Client_100498,11,303,16/10/1997,0.0
